name,desc,info,score
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,8.4
7号房的礼物,《我是山姆》的《美丽人生》。,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.7
哈利·波特与死亡圣器(下),10年的完美句点。,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,8.7
燕尾蝶,现实与童话交相辉映的旅程。,导演: 岩井俊二 Shunji Iwai   主演: 恰拉 Chara / 伊藤步 Ayumi Ito / 三上...,8.6
无人知晓,我的平常生活就是他人的幸福。,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...,9.0
非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,导演: 布莱恩·辛格 Bryan Singer   主演: 史蒂芬·鲍德温 Stephen Baldwin /...,8.6
指环王2：双塔奇兵,承前启后的史诗篇章。,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.0
阳光灿烂的日子,一场华丽的意淫。,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,8.8
幽灵公主,人与自然的战争史诗。,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,8.8
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,8.9
第六感,深入内心的恐怖，出人意料的结局。,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,8.8
重庆森林,寂寞没有期限。,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.7
